head,tail
1199,76468
1199,76476
1199,76982
1199,77862
1199,79467
1199,88803
1199,88955
1199,88964
1199,120415
1199,120743
1199,136205
1243,1377
1243,1395
1243,1474
1243,2380
1243,2983
1243,4192
1243,4276
1243,8300
1243,9742
1243,10141
1243,10208
1243,12258
1243,12791
1243,13081
1243,16291
1243,16871
1243,18338
1243,18340
1243,24730
1243,25658
1243,25662
1243,27626
1243,28453
1243,30544
1243,30545
1243,31111
1243,37691
1243,41197
1243,43749
1243,46409
1243,46410
1243,46411
1243,46419
1243,46613
1243,46621
1243,46705
1243,46780
1243,46795
1243,46875
1243,48765
1243,48909
1243,50894
1243,51587
1243,51783
1243,52259
1243,58824
1243,60181
1243,60314
1243,60585
1243,61136
1243,62405
1243,64912
1243,67534
1243,67902
1243,68646
1243,72220
1243,72400
1243,75434
1243,81535
1243,84860
1243,86618
1243,88706
1243,91435
1243,93213
1243,93225
1243,93235
1243,93241
1243,93354
1243,93362
1243,93410
1243,96446
1243,99651
1243,99757
1243,106899
1243,107438
1243,109754
1243,114554
1243,116394
1243,117250
1243,118809
1243,122427
1243,122476
1243,122773
1243,128196
1243,128385
1243,131352
1243,131354
1243,131359
1244,3888
1244,31940
1244,42788
1244,81677
1244,103126
1347,1526
1371,1820
1371,2175
1371,2201
1371,2288
1371,3364
1371,4625
1371,6093
1371,10345
1371,22293
1371,25918
1371,34833
1371,38101
1377,1395
1377,1474
1377,2380
1377,2983
1377,4192
1377,4276
1377,8300
1377,9742
1377,10141
1377,10208
1377,12258
1377,12791
1377,13081
1377,16291
1377,16871
1377,18338
1377,18340
1377,24730
1377,25658
1377,25662
1377,27626
1377,28453
1377,30544
1377,30545
1377,31111
1377,37691
1377,41197
1377,43749
1377,46409
1377,46410
1377,46411
1377,46419
1377,46613
1377,46621
1377,46705
1377,46780
1377,46795
1377,46875
1377,48765
1377,48909
1377,50894
1377,51587
1377,51783
1377,52259
1377,58824
1377,60181
1377,60314
1377,60585
1377,61136
1377,62405
1377,64912
1377,67534
1377,67902
1377,68646
1377,72220
1377,72400
1377,75434
1377,81535
1377,84860
1377,86618
1377,88706
1377,91435
1377,93213
1377,93225
1377,93235
1377,93241
1377,93354
1377,93362
1377,93410
1377,96446
1377,99651
1377,99757
1377,106899
1377,107438
1377,109754
1377,114554
1377,116394
1377,117250
1377,118809
1377,122427
1377,122476
1377,122773
1377,128196
1377,128385
1377,131352
1377,131354
1377,131359
1395,1474
1395,2380
1395,2983
1395,4192
1395,4276
1395,8300
1395,9742
1395,10141
1395,10208
1395,12258
1395,12791
1395,13081
1395,16291
1395,16871
1395,18338
1395,18340
1395,24730
1395,25658
1395,25662
1395,27626
1395,28453
1395,30544
1395,30545
1395,31111
1395,37691
1395,41197
1395,43749
1395,46409
1395,46410
1395,46411
1395,46419
1395,46613
1395,46621
1395,46705
1395,46780
1395,46795
1395,46875
1395,48765
1395,48909
1395,50894
1395,51587
1395,51783
1395,52259
1395,58824
1395,60181
1395,60314
1395,60585
1395,61136
1395,62405
1395,64912
1395,67534
1395,67902
1395,68646
1395,72220
1395,72400
1395,75434
1395,81535
1395,84860
1395,86618
1395,88706
1395,91435
1395,93213
1395,93225
1395,93235
1395,93241
1395,93354
1395,93362
1395,93410
1395,96446
1395,99651
1395,99757
1395,106899
1395,107438
1395,109754
1395,114554
1395,116394
1395,117250
1395,118809
1395,122427
1395,122476
1395,122773
1395,128196
1395,128385
1395,131352
1395,131354
1395,131359
1401,3241
1401,9868
1401,23218
1401,27894
1401,29205
1401,36502
1401,43749
1401,52001
1401,58469
1401,58472
1401,61140
1401,62342
1401,65066
1401,65254
1401,72762
1401,74375
